Chromosome	Position start (hg38)	Position end (hg38)	Length of DMR (base pairs)	Number of CpGs in DMR	CpG island position	Chromatin state in male skeletal muscle	Chromatin state in female skeletal muscle	Annotated gene(s)	Maximum effect size in DMR	Mean effect size in DMR	Stouffer score	Harmonic mean of the individual component FDRs	Fisher multiple comparison statistic
chr4	3449042	3449488	447	4	Shore	Quiescent/Low	Weak transcription	HGFAC	0.0048	0.00335	1.22026192337492e-06	2.37617872166372e-05	2.95097650146054e-07
chr8	8722865	8723702	838	5	Shore;Island	Repressed PolyComb;Bivalent/Poised TSS	Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	RP11-211C9.1	0.0086	0.00286	0.000398010276961942	1.54050140065159e-08	2.95832785732847e-07
chr5	142491244	142491751	508	2	Open sea	Weak transcription	Quiescent/Low	AC005592.2	0.0066	0.00575	1.41379868394645e-07	3.41247904520582e-05	2.96622969935654e-07
chr10	13339774	13340121	348	2	Open sea	Enhancers;Flanking Active TSS	Enhancers	SEPHS1	-0.007	-0.0054	3.10452579764405e-06	3.08709730588754e-07	2.97264100860302e-07
chr2	190657826	190658408	583	2	Open sea	Enhancers	Enhancers		0.007	0.00595	1.12721003878427e-07	0.00011902164864973	2.98027912936395e-07
chr1	154404614	154405144	531	10	Shore	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS;Active TSS	UBAP2L;ATP8B2;RP11-350G8.5;IL6R	-0.0053	-0.00202	0.000160573692302916	4.83951516762157e-05	2.98059948942871e-07
chr12	130424232	130424862	631	4	Island;Shore	Weak Repressed PolyComb	Weak Repressed PolyComb;Quiescent/Low	RP11-117L5.1;RIMBP2	0.0056	0.0026	7.15287598254144e-05	7.7816083614923e-08	2.99016656665097e-07
chr5	141402709	141402942	234	4	Shelf	ZNF genes & repeats	Weak transcription;Active TSS	PCDHGB5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGA2;PCDHGB2;PCDHGA3;PCDHGB3;PCDHGA4;PCDHGB4;PCDHGA5	0.005	0.004025	1.87079763740863e-07	4.79162944360236e-05	2.99844357486702e-07
chr10	101290484	101290679	196	2	Shore	Repressed PolyComb;Bivalent/Poised TSS	Bivalent Enhancer		-0.0055	-0.0051	1.18515849469296e-07	8.98075569213218e-05	3.01142590446728e-07
chr7	1110469	1110668	200	2	Island	Weak transcription	Weak transcription	C7orf50	0.0056	0.0047	4.47193611404097e-07	2.58262503377813e-06	3.01351639806654e-07
chr12	105562618	105562699	82	2	Open sea	Flanking Active TSS	Active TSS		-0.0064	-0.0044	4.33524202857753e-07	2.7126362060475e-06	3.0152950352563e-07
chr19	29664682	29664958	277	2	Shore	Flanking Active TSS;Active TSS	Enhancers;Flanking Active TSS	PLEKHF1	-0.0079	-0.00585	1.68977145183212e-07	1.97618050728653e-05	3.01732071912774e-07
chr7	100610909	100611326	418	3	Shore	Weak Repressed PolyComb	Weak Repressed PolyComb	MOSPD3	0.006	0.00316666666666667	2.21719214491443e-05	1.18867167058276e-07	3.01823607981665e-07
chr2	27271667	27271852	186	2	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb	SLC30A3	0.0043	0.0042	1.38556728878935e-07	4.03931029037695e-05	3.02029575346772e-07
chr17	81449176	81449523	348	2	Shore	Weak transcription	Weak transcription	BAHCC1	0.0095	0.0065	2.97684680675782e-07	5.20095416346987e-06	3.02460552005316e-07
chr8	30723112	30723286	175	2	Open sea;Shelf	Enhancers	Flanking Active TSS;Enhancers	GSR;GTF2E2;UBXN8	-0.005	-0.0036	8.5669105220865e-06	1.59513276630169e-07	3.03428043347556e-07
chr7	107202066	107202186	121	2	Open sea	Genic enhancers	Genic enhancers		-0.0078	-0.00525	1.48483917264402e-06	6.10826449147136e-07	3.04035898918484e-07
chr3	13496013	13496703	691	5	Open sea	Enhancers	Enhancers		-0.0065	-0.00336	0.000167253659368436	5.86971116512548e-05	3.04102270367978e-07
chr1	54885710	54885985	276	2	Shore	Flanking Active TSS	Enhancers;Flanking Active TSS	RP11-67L3.5;DHCR24	-0.0075	-0.00525	2.21150742034131e-05	9.79560453728169e-08	3.04372477631395e-07
chr7	2075911	2076172	262	2	Shore	Weak transcription;Strong transcription	Weak transcription	MAD1L1	0.0083	0.0027	1.44274555927608e-07	3.55368830496037e-05	3.04442044856536e-07
chr10	110764745	110764791	47	2	Open sea	Active TSS	Active TSS	RBM20	-0.0052	-0.00435	1.5839071821484e-07	2.5263663742315e-05	3.04557658304679e-07
chr11	77823388	77823450	63	2	Shelf	Flanking Active TSS	Active TSS	AAMDC	-0.0063	-0.00545	1.38441049462285e-07	4.2395842733867e-05	3.04759443927586e-07
chr4	185508254	185508520	267	2	Open sea	Enhancers	Genic enhancers		-0.0054	-0.00495	2.22778478943101e-07	9.83424834204854e-06	3.05383480252692e-07
chr16	2763665	2763895	231	2	Shore	Strong transcription	Strong transcription	SRRM2	-0.0069	-0.00665	4.44933951583644e-07	2.68562374695343e-06	3.05577767914151e-07
chr4	74795738	74796150	413	3	Shore	Quiescent/Low	Quiescent/Low	BTC	-0.0057	-0.0041	3.52623651580231e-07	9.88280090705438e-06	3.05881797481349e-07
chr9	94638550	94640272	1723	8	Shore;Island	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Repressed PolyComb;Flanking Bivalent TSS/Enh;Active TSS;Weak transcription	FBP1	0.0068	0.0031875	7.76415934560914e-07	0.00354749274512049	3.0597268459822e-07
chr1	53693909	53694024	116	2	Open sea	Repressed PolyComb	Weak Repressed PolyComb	GLIS1	0.004	0.0039	1.15147753871217e-07	0.000126463680191488	3.05997915445924e-07
chr8	37782234	37782826	593	2	Open sea	Enhancers	Enhancers	ADGRA2	0.0053	0.0046	1.62536407890136e-07	2.37502940969143e-05	3.06443726276754e-07
chr8	47644368	47644857	490	4	Open sea	Enhancers	Flanking Active TSS;Enhancers	SPIDR	-0.0052	-0.00435	4.30348713219124e-08	0.00166722929494441	3.0664270287425e-07
chr2	239195208	239196387	1180	7	Open sea	Genic enhancers;Weak transcription	Enhancers;Weak transcription;Genic enhancers	HDAC4	-0.0054	-0.00278571428571429	4.93883610492774e-05	0.000215363085028435	3.06842700094877e-07
chr17	81067679	81068563	885	5	Shelf	Bivalent Enhancer	Weak Repressed PolyComb;Repressed PolyComb;Bivalent Enhancer	BAIAP2	0.0054	0.00286	1.50302512384821e-06	0.000366343221051841	3.0716598758247e-07
chr7	107562070	107562379	310	2	Shore	Weak transcription;Enhancers	Weak transcription;Enhancers	DUS4L;COG5	-0.005	-0.00205	0.000275124858990275	4.50907385885202e-08	3.07477907795741e-07
chr1	26220567	26220885	319	3	Open sea	Weak Repressed PolyComb	Quiescent/Low	RP11-231P20.6;RP11-231P20.2	0.005	0.00383333333333333	1.20267347143484e-07	0.000327294624239691	3.07809307556903e-07
chr2	100106647	100106966	320	4	Shore	Repressed PolyComb	Weak Repressed PolyComb	AC092667.2;AFF3	0.0071	0.002175	0.000167267207852449	1.67645868527335e-07	3.08401524689974e-07
chr17	81056995	81057911	917	9	Shore	Enhancers	Enhancers		-0.0041	-0.00161111111111111	0.000121191288354293	0.000400234335664393	3.08853306070173e-07
chr11	88345119	88345460	342	2	Open sea	Quiescent/Low	Weak transcription		-0.011	-0.0067	3.41446131559318e-05	8.29999712384061e-08	3.08864728091614e-07
chr13	113626538	113626690	153	3	Shore	Weak transcription	Weak transcription	TFDP1	0.0052	0.004	1.8088020219347e-07	3.43296466734366e-05	3.09461673972735e-07
chr2	207770912	207771638	727	6	Shore	Flanking Active TSS;Enhancers	Flanking Active TSS;Active TSS;Quiescent/Low	FZD5	0.0042	0.00228333333333333	4.72094412242899e-07	0.000400667311444528	3.0972432159731e-07
chr10	94088891	94089305	415	5	Open sea	Enhancers;Active TSS;Flanking Active TSS	Weak transcription;Enhancers	PLCE1;PLCE1-AS2	0.0059	0.00276	1.2857977073029e-05	4.5140826023796e-05	3.09877141997831e-07
chr22	45329040	45330360	1321	7	Open sea	Genic enhancers	Enhancers		-0.0071	-0.00364285714285714	1.43719621127294e-06	0.0007221370344286	3.10314470950246e-07
chr8	92017359	92017888	530	4	Open sea	Weak transcription	Enhancers	RUNX1T1	-0.0067	-0.004175	2.66786917401079e-06	0.000164247440222861	3.10895616855017e-07
chr1	17232451	17233237	787	7	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb	PADI1	0.0059	0.00387142857142857	6.05715779774071e-08	0.000711058542758461	3.11644405235546e-07
chr2	109609563	109609789	227	2	Shelf	Quiescent/Low	Quiescent/Low	SEPT10	0.0051	0.0049	4.83885041268011e-07	2.47751943428666e-06	3.1203779870786e-07
chr17	40347549	40347849	301	2	Shore;Shelf	Enhancers	Enhancers	MSL1;RARA;RARA-AS1	0.0064	0.0028	0.000347384309288163	4.39450387143136e-08	3.12212896651973e-07
chr14	64294284	64295596	1313	10	Island;Shore	Flanking Bivalent TSS/Enh;Active TSS;Quiescent/Low	Flanking Bivalent TSS/Enh;Weak Repressed PolyComb	ESR2	0.0041	0.00029	6.80547039418396e-05	9.10609626030996e-05	3.12531501624179e-07
chr16	67432356	67432566	211	2	Shore	Weak transcription	Enhancers	RP11-297D21.2;HSD11B2	0.0039	0.00285	1.74600671556333e-07	2.04352527854994e-05	3.12702356879992e-07
chr3	140462975	140463597	623	3	Open sea	Quiescent/Low	Quiescent/Low	CLSTN2;RP11-68L1.1	0.0049	0.00306666666666667	5.76195113382648e-05	5.89255397532164e-05	3.15055473732222e-07
chr12	132268749	132269287	539	4	Shore;Island	Repressed PolyComb	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent Enhancer	GALNT9	-0.0045	-0.0029	9.71982971107748e-07	2.51867054649382e-05	3.17485595490838e-07
chr9	137448872	137449164	293	2	Shore;Island	Strong transcription	Weak transcription	NSMF	0.0037	0.0033	1.58815554093819e-07	2.99145020768713e-05	3.17794209553037e-07
chr9	137129659	137130140	482	2	Island	Bivalent/Poised TSS	Flanking Active TSS;Active TSS		0.0057	0.00175	5.68645289409033e-06	2.20849639902809e-07	3.17924300838657e-07
chr1	161098194	161099376	1183	9	Shore;Island	Flanking Active TSS;Active TSS;Enhancers	Flanking Active TSS;Active TSS;Enhancers	KLHDC9	-0.0053	-0.00295555555555556	1.4493695045395e-06	0.000326149574792856	3.18275735642575e-07
chr5	132272552	132273261	710	4	Shore	Enhancers;Flanking Active TSS;Active TSS	Quiescent/Low;Enhancers	PDLIM4;P4HA2	-0.0051	-0.003025	3.15533665868426e-06	2.43450347773538e-05	3.18556405271126e-07
chr9	116152828	116154213	1386	4	Shore;Island	Quiescent/Low;Active TSS	Weak Repressed PolyComb	PAPPA	0.0049	0.0032	4.38248921458009e-06	3.92272831836412e-05	3.19457538466031e-07
chr2	100207873	100208467	595	5	Open sea	Quiescent/Low	Quiescent/Low	LINC01104	0.0063	0.00278	0.0014319841593582	1.81290515342719e-06	3.19579707363099e-07
chr22	18112540	18113247	708	3	Shore	Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS	AC008079.10;PEX26;TUBA8	-0.0053	-0.0049	6.40836527988192e-08	0.000826647409339952	3.19668103484376e-07
chr8	56074730	56075438	709	6	Island;Shore	Flanking Active TSS;Active TSS	Active TSS;Flanking Active TSS;Quiescent/Low	SNORD54;RPS20;CTA-397H3.3	-0.0081	-0.00253333333333333	3.55635231738119e-05	3.46774406589026e-07	3.20578279137916e-07
chr1	10303572	10303966	395	3	Open sea	Strong transcription	Strong transcription	KIF1B	-0.0062	-0.00376666666666667	2.69479804202433e-05	1.03228105726361e-06	3.21494421350963e-07
chr1	94544120	94544513	394	2	Shelf	Weak Repressed PolyComb	Repressed PolyComb;Weak Repressed PolyComb		-0.0047	-0.004	3.63042626406875e-07	4.23984157156771e-06	3.21944861223833e-07
chr2	96695155	96695526	372	6	Open sea	Weak transcription	Weak transcription	FER1L5	0.0046	0.00171666666666667	0.00068411154737715	0.000137549216228122	3.22466247201177e-07
chr8	37494821	37494975	155	2	Open sea	Weak transcription	Weak transcription	RP11-150O12.1	0.0053	0.00495	1.66463514033991e-07	2.72123801233347e-05	3.2324218335074e-07
chr16	56257762	56257900	139	4	Open sea	Enhancers	Weak transcription	GNAO1	0.0041	0.0028	5.94859139621252e-06	7.70949216703689e-07	3.23498456547089e-07
chr1	15744133	15744324	192	4	Island	Quiescent/Low	Weak transcription	TMEM82;RP11-169K16.4	0.0049	0.0024	0.000202518554693676	8.07321523277783e-06	3.23902558560092e-07
chrX	108439308	108439629	322	3	Open sea	Active TSS	Active TSS	COL4A5;COL4A6	-0.0073	-0.0038	0.00164562392654856	1.87027734114837e-08	3.25395495483081e-07
chr19	48896446	48896530	85	2	Shelf	Active TSS	Active TSS	TULP2	0.0058	0.0048	2.56139758880414e-07	8.65520442689041e-06	3.25593397730974e-07
chr2	202170757	202171511	755	5	Shore;Island	Repressed PolyComb;Weak Repressed PolyComb;Flanking Active TSS	Weak Repressed PolyComb	KIAA2012	0.0055	0.0031	5.98665404307897e-05	0.000266254591868298	3.25916161887039e-07
chr19	49102064	49102551	488	4	Open sea	Strong transcription	Strong transcription	SNRNP70	-0.0059	-0.0033	6.686548206351e-05	0.00042725208321225	3.27669593157251e-07
chr1	39559559	39560529	971	7	Open sea	Transcr. at gene 5' and 3';Strong transcription	Transcr. at gene 5' and 3';Strong transcription	PPIEL	-0.0055	-0.00118571428571429	4.68060427591273e-07	0.00229498889996833	3.27868992872415e-07
chr7	47517212	47517329	118	2	Open sea	Enhancers	Enhancers		-0.008	-0.00655	1.25823527346276e-07	0.000115746165305428	3.28482239270888e-07
chr12	50032747	50033311	565	4	Shore;Island	Repressed PolyComb	Repressed PolyComb;Bivalent/Poised TSS	RACGAP1	0.0043	0.003075	1.79344724271582e-07	0.000105136105071329	3.29667106369189e-07
chr12	118150750	118151281	532	4	Open sea	Weak transcription;Strong transcription	Weak transcription;Strong transcription	TAOK3	-0.0063	-0.0032	1.18551415325076e-05	4.16843422174203e-06	3.29904090839108e-07
chr5	73303037	73303958	922	6	Shore;Island	Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	Repressed PolyComb;Bivalent Enhancer		0.0057	0.00238333333333333	0.00165804884611407	6.30098676612796e-07	3.30181847493865e-07
chr22	38935084	38935278	195	2	Open sea	Bivalent Enhancer	Bivalent Enhancer		-0.0069	-0.0041	6.63099360854568e-05	7.09855748966414e-08	3.30469217411557e-07
chr20	20268019	20268051	33	2	Open sea	Quiescent/Low	Weak transcription	RP5-1096J16.1;CFAP61	0.0068	0.00585	3.1296745432071e-07	5.98163027214973e-06	3.30975193243815e-07
chr8	100336130	100336692	563	9	Open sea	Flanking Active TSS	Flanking Active TSS;Enhancers	KB-1991G8.1;RNF19A	-0.009	-0.00335555555555556	0.000851321867400242	4.00029051468896e-05	3.31782235683867e-07
chr5	172603480	172603544	65	2	Open sea	Flanking Active TSS	Enhancers		0.0049	0.00445	1.36027119489106e-07	7.78277743694826e-05	3.33864289925373e-07
chr15	78286077	78286101	25	2	Open sea	Strong transcription	Strong transcription	WDR61	-0.0052	-0.00405	7.23207013054781e-07	1.64219144363934e-06	3.34652666789182e-07
chr9	106449741	106450228	488	3	Open sea	Enhancers	Enhancers		-0.0058	-0.0023	9.04953785151317e-08	0.00027524414834605	3.3524141736481e-07
chr5	44806820	44807438	619	2	Shelf;Shore	Quiescent/Low	Quiescent/Low	RP11-53O19.1;MRPS30	-0.0048	-0.0046	1.73734281822128e-07	2.73222401078714e-05	3.35310230135182e-07
chr1	235104158	235104373	216	3	Shore;Island	Enhancers	Enhancers;Flanking Active TSS	RP4-597N16.4	-0.0056	-0.00296666666666667	7.52315197632253e-05	2.10089651923121e-07	3.35405697511522e-07
chr12	6124490	6125623	1134	6	Open sea	Active TSS;Weak transcription;Enhancers	Bivalent/Poised TSS;Quiescent/Low	VWF	0.0069	0.00271666666666667	4.49236652933194e-06	8.2127121772313e-05	3.35564652668572e-07
chrX	46573334	46573579	246	4	Shore	Repressed PolyComb;Bivalent/Poised TSS	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	CHST7	0.0085	0.0044	7.81184014817903e-05	1.27434320724573e-07	3.35823915721476e-07
chr12	122991832	122991895	64	2	Open sea	Strong transcription	Weak transcription	PITPNM2	0.004	0.00335	1.57393608747315e-07	4.00728385336912e-05	3.36418281812334e-07
chr20	45098123	45098713	591	3	Island	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Repressed PolyComb	Bivalent Enhancer;Repressed PolyComb	KCNS1	0.0051	0.0041	7.75395490353177e-07	1.73272563077681e-05	3.3698690504707e-07
chr12	52209515	52210240	726	4	Open sea	Weak Repressed PolyComb	Enhancers;Weak transcription	LINC00592;C12orf80	0.0057	0.00225	0.000189792080730813	9.92147543023332e-06	3.36989910938111e-07
chr1	157043173	157043553	381	2	Shelf;Shore	Flanking Active TSS	Flanking Active TSS	ARHGEF11	-0.005	-0.0043	1.74350001058781e-07	2.83908087308874e-05	3.39441342678712e-07
chr6	30885236	30885830	595	7	Shore	Flanking Bivalent TSS/Enh;Flanking Active TSS	Flanking Active TSS	DDR1	-0.0035	-0.00247142857142857	3.47443411582496e-07	0.000182799010207146	3.40554832253468e-07
chr6	31813633	31814189	557	5	Shore	Flanking Active TSS	Flanking Active TSS	HSPA1L;HSPA1A	-0.0068	-0.00344	4.89504461095556e-06	0.000297688369830651	3.41351029657884e-07
chr9	129008240	129008631	392	2	Open sea	Genic enhancers	Genic enhancers		-0.01	-0.00585	9.91686053231623e-05	6.52800561688151e-08	3.41719949326227e-07
chr16	30121853	30121925	73	2	Shore	Transcr. at gene 5' and 3';Flanking Active TSS	Flanking Active TSS	MAPK3	0.0046	0.004	2.00916975793885e-07	1.86731166561091e-05	3.42071562438112e-07
chr11	46272823	46273168	346	2	Open sea	Enhancers	Enhancers		0.0063	0.0046	1.29751239076088e-07	0.00013107258140173	3.42813663048638e-07
chr1	151858316	151858667	352	2	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb		0.0063	0.00455	1.61732201553493e-06	6.93823420316234e-07	3.43144897728266e-07
chr3	118941908	118942452	545	3	Open sea	Weak transcription;Enhancers	Weak transcription;Enhancers	IGSF11;IGSF11-AS1	-0.0078	-0.00536666666666667	2.84842219809745e-07	9.13091421524456e-05	3.4416873332229e-07
chr16	88392209	88392947	739	3	Shore	Enhancers;Flanking Active TSS	Enhancers		-0.0083	-0.00606666666666667	3.90559174733841e-07	5.15146441082204e-05	3.44308778404267e-07
chr6	32109966	32110846	881	11	Open sea	Flanking Bivalent TSS/Enh	Flanking Bivalent TSS/Enh;Bivalent Enhancer;Flanking Active TSS;Enhancers	TNXB;ATF6B	-0.0034	-0.00174545454545455	4.35933350609201e-07	0.0021039165023982	3.44654094236073e-07
chr16	53501680	53502012	333	3	Shore	Flanking Active TSS	Flanking Active TSS	AKTIP	-0.0097	-0.00456666666666667	0.00122093820336366	7.3125720767631e-08	3.45629802951841e-07
chr2	8003863	8004456	594	3	Open sea	Enhancers	Flanking Active TSS	LINC00298	-0.0062	-0.00396666666666667	0.00139294572944357	5.48222530470714e-05	3.460288458619e-07
chr18	46335685	46335937	253	3	Shore	Active TSS;Flanking Active TSS	Active TSS	RNF165	0.0054	0.00156666666666667	7.24816352427251e-08	0.000778814076603778	3.47306862906817e-07
chr17	76643648	76643995	348	6	Open sea	Bivalent/Poised TSS;Bivalent Enhancer	Weak Repressed PolyComb	ST6GALNAC1	0.0042	0.00285	8.5879273296863e-08	0.000704220349129898	3.48175157358165e-07
chr17	81025363	81026405	1043	6	Open sea	Flanking Bivalent TSS/Enh	Bivalent Enhancer;Flanking Bivalent TSS/Enh	CTD-2561B21.10	-0.0042	-0.00268333333333333	9.20539937961207e-08	0.00252438094706128	3.50310080898586e-07
chr15	77658711	77659128	418	2	Open sea	Repressed PolyComb	Repressed PolyComb	LINGO1-AS2;LINGO1	0.0057	0.0035	8.20844859809648e-06	2.01749090100298e-07	3.51107190076308e-07
chr18	11179065	11179360	296	2	Open sea	Flanking Active TSS	Enhancers;Flanking Active TSS		-0.005	-0.0039	2.85852057549359e-07	8.46783451906452e-06	3.51196124744188e-07
chr3	9168431	9168471	41	2	Open sea	Quiescent/Low	Quiescent/Low	SRGAP3	0.0047	0.0045	6.70685637559194e-07	2.00684990144645e-06	3.51362071563803e-07
chr17	63989211	63989854	644	3	Open sea	Active TSS;Flanking Bivalent TSS/Enh	Active TSS;Flanking Active TSS	CTC-264K15.6	-0.0069	-0.0039	3.79495089390174e-07	1.6485838601783e-05	3.51655872084181e-07
chr17	21210049	21210319	271	2	Shelf	Transcr. at gene 5' and 3'	Flanking Active TSS;Transcr. at gene 5' and 3'	TMEM11	-0.0091	-0.0061	5.31146258662324e-07	2.80999355970248e-06	3.51744344583918e-07
chr6	30131127	30131474	348	2	Shelf	Repressed PolyComb	Bivalent Enhancer;Repressed PolyComb		-0.0045	-0.0039	1.77086321259579e-06	6.68656026972485e-07	3.53451982303915e-07
chr5	51382616	51383982	1367	20	Shore;Island	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Repressed PolyComb	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	ISL1;CTD-2314G24.2	0.0046	0.002165	2.51196168780089e-05	0.00272483256534313	3.54952532282918e-07
chr19	13016574	13017058	485	3	Shelf	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	FBXW9;TNPO2;NFIX;TRMT1	-0.0049	-0.00346666666666667	2.77994666565933e-07	1.95554383751391e-05	3.55399097769833e-07
chr1	18879495	18880064	570	2	Shore;Shelf	Strong transcription	Strong transcription	RP13-279N23.2;ALDH4A1	0.0053	0.00395	3.11020302708917e-07	7.3914446950188e-06	3.56403301731019e-07
chr22	22507825	22508160	336	2	Shore	Weak Repressed PolyComb;Bivalent/Poised TSS	Repressed PolyComb;Bivalent/Poised TSS	ZNF280B	-0.0084	-0.00315	8.8964802472379e-07	1.44065090398245e-06	3.57216282280003e-07
chr10	75000512	75001198	687	3	Open sea	Weak transcription;Enhancers	Weak transcription;Enhancers	KAT6B	-0.0068	-0.0064	8.89834517590473e-08	0.000346088141100483	3.579915755705e-07
chr10	132206051	132207673	1623	6	Island;Shore	Weak transcription	Weak transcription	STK32C	0.0037	0.00246666666666667	5.56933150574415e-05	2.99901533023592e-07	3.58507564907536e-07
chr20	31473018	31473830	813	6	Shelf;Shore	Weak Repressed PolyComb	Bivalent Enhancer;Repressed PolyComb	DEFB124;REM1	0.0037	0.002	1.04999473321923e-05	0.000174740158956877	3.58848596587403e-07
chr3	142964040	142964486	447	8	Island;Shore	Active TSS;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Active TSS;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	PAQR9-AS1;U2SURP;PAQR9	0.0077	0.002425	0.00345420448855789	2.66718263968562e-07	3.59016012342212e-07
